position,artist,name
3584,David Bowie & The Pat Metheny Group,This is Not America
4625,David Cassidy,Cherish
1894,David Dundas,Jeans On
2612,David Essex,Rock On
302,David Guetta & Akon,Sexy Chick (sexy Bitch)
3697,David Guetta & Chris Willis,Getting Over You
1592,David Guetta & Kelly Rowland,When Love Takes Over
3567,David Guetta & Nicki Minaj,Turn Me On
3839,David Guetta & Sia,Titanium
3031,David Guetta & Usher,Without You
2756,"David Guetta, Flo-Rida & Nicki Minaj",Where Them Girls At
3662,David Rose,The Stripper
2588,David Seville & The Chipmunks,Witch Doctor
1037,David Soul,Don't Give Up On Us
1455,David Whitfield & Mantovani,Cara Mia
2391,Dawn,Candida
1267,Dead Or Alive,You Spin me 'round (Like a Record)
462,Dean Martin,Memories Are Made of This
3373,DeBarge,Rhythm of the Night
575,Debbie Boone,You Light Up My Life
1867,Debbie Gibson,Lost in Your Eyes
880,Debbie Reynolds,Tammy
3594,Debbie Reynolds & Carleton Carpenter,The Aba Daba Honeymoon
3634,Debelah Morgan,Dance With Me
3082,Dee Clark,Raindrops
3257,Dee Dee Sharp,Mashed Potato Time
1058,Deee-Lite,Groove is in the Heart
1255,Deep Blue Something,Breakfast At Tiffany's
1395,Deep Purple,Smoke On the Water
2021,Def Leppard,Let's Get Rocked
381,Del Shannon,Runaway
2141,Demis Roussos,"Goodbye, My Love, Goodbye"
1819,Deniece Williams,Let's Hear it For the Boy
596,Depeche Mode,Enjoy the Silence
944,Derek & The Dominos,Layla
2640,Desireless,Voyage Voyage
1009,Desmond Dekker,Israelites
1379,Des'ree,Life
378,Destiny's Child,Lose My Breath
3045,Destiny's Child & T.I. & Lil' Wayne,Soldier
2677,Devo,Whip It
299,Dexys Midnight Runners,Come On Eileen
3899,DHT & Edmee,Listen to Your Heart
556,Diana King,Shy Guy
102,Diana Ross,Upside Down
207,Diana Ross & Lionel Richie,Endless Love
1740,Diana Ross & The Supremes,Love Child
3999,Diana Ross & The Supremes & The Temptations,I'm Gonna Make You Love Me
342,Dick Haymes,You'll Never Know
2512,Diddy Dirty Money,Coming Home
308,Dido,White Flag
158,Dinah Shore,Buttons & Bows
1361,Dion,Runaround Sue
2607,Dion & The Belmonts,A Teenager in Love
2197,Dionne Farris,I Know
1621,Dionne Warwick,Heartbreaker
170,Dionne Warwick & Friends,That's What Friends Are For
3402,Dionne Warwick & The Detroit Spinners,Then Came You
500,Dire Straits,Money For Nothing
2584,Divinyls,I Touch Myself
2464,Dixie Cups,Chapel of Love
