position,artist,name
3084,"The Jackson 5, Mick Jagger & Michael Jackson",State of Shock
4486,The Jam,A Town Called Malice
4732,The Jaynettes,"Sally, Go 'Round the Roses"
2850,The Kaiser Chiefs,Ruby
569,The Kalin Twins,When
2238,The Killers,Human
152,The Kingston Trio,Tom Dooley
434,The Kinks,Lola
316,The Knack,My Sharona
2926,The Korgis,Everybody's Got to Learn Sometime
4624,The Left Banke,Walk Away Renee
1659,The Lemon Pipers,Green Tambourine
1673,The Lighthouse Family,High
375,The Mamas & The Papas,Monday Monday
450,The Manhattans,Kiss & Say Goodbye
4371,The Manic Street Preachers,If You Tolerate This Your Children Will Be Next
3772,The Marbles,Only One Woman
650,The Marcels,Blue Moon
2252,The Marvelettes,Please Mr Postman
1788,The McCoys,Hang On Sloopy
240,The Mills Brothers,Paper Doll
2688,The Mindbenders,A Groovy Kind of Love
3035,The Miracles,Love Machine
3840,The Mixtures,The Pushbike Song
65,The Monkees,I'm a Believer
656,The Moody Blues,Nights in White Satin
4234,The Music Explosion,Little Bit O' Soul
1017,The New Radicals,You Get What You Give
1077,The New Seekers,I'd Like to Teach the World to Sing
2454,The Newbeats,Bread & Butter
3448,"The Notorious BIG, P Diddy, Nelly, Jagged Edge & Avery Storm",Nasty Girl
2014,The O'Jays,Love Train
2008,The Orioles,Crying in the Chapel
4597,The Orlons,South Street
2007,The Osmonds,Crazy Horses
1705,The Outhere Brothers,Boom Boom Boom
828,The Partridge Family,I Think I Love You
2116,The Penguins,Earth Angel
260,The Pet Shop Boys,West End Girls
4497,The Pied Pipers,Dream
285,The Platters,Smoke Gets in Your Eyes
1628,The Pointer Sisters,Fire
17,The Police,Every Breath You Take
1011,The Pretenders,Brass In Pocket (I'm Special)
948,The Proclaimers,I'm Gonna Be (500 miles)
1260,The Prodigy,Breathe
109,The Pussycat Dolls,Don't Cha
1703,The Pussycat Dolls & Will.I.Am,Beep
4714,The Rays,Silhouettes
4082,The Real Thing,You to Me Are Everything
1314,The Rembrandts,I'll Be There For You
77,The Righteous Brothers,Unchained Melody
12,The Rolling Stones,(I Can't Get No) Satisfaction
2151,The Romantics,Talking in Your Sleep
449,The Ronettes,Be My Baby
2508,The Rooftop Singers,Walk Right In
4594,The Royal Philharmonic Orchestra,Hooked On Classics
1078,The Royal Scots Dragoon Guards,Amazing Grace
673,The Rubettes,Sugar Baby Love
4025,The Sandpipers,Guantanamera
3392,The Scaffold,Lily the Pink
466,The Scissor Sisters,I Don't Feel Like Dancin'
609,The Scorpions,Wind of Change
2986,The Script,For the First Time
3136,The Script & will.i.am,Hall Of Fame
2479,The Searchers,Needles & Pins
1296,The Seekers,Georgy Girl
4983,The Sex Pistols,God Save the Queen
1324,The Shadows,Apache
1336,The Shangri-Las,Leader of the Pack
1322,The Shirelles,Will You Love Me Tomorrow
3226,The Silhouettes,Get a Job
1142,The Simpsons,Do the Bartman
1644,The Small Faces,Itchycoo Park
1481,The Smashing Pumpkins,1979
2976,The Smurfs,The Smurf Song
1298,The Song Spinners,Comin' in on a Wing & a Prayer
3141,The Sons of the Pioneers,Tumbling Tumbleweeds
3340,The Specials,Ghost Town
1170,The Spin Doctors,Two Princes
2275,The Staple Singers,I'll Take You There
3553,The Stray Cats,Stray Cat Strut
4269,The Streets,Dry Your Eyes
1593,The Stylistics,You Make Me Feel Brand New
1006,The Sugababes,Push the Button
796,The Supremes,Where Did Our Love Go
1619,The Surfaris,Wipe Out
401,The Sweet,The Ballroom Blitz
2851,The Teddy Bears,To Know Him is to Love Him
671,The Temptations,My Girl
2496,The Thompson Twins,Hold Me Now
1186,The Three Degrees,When Will I See You Again?
3640,The Ting Tings,That's Not My Name
1885,The Tokens,The Lion Sleeps Tonight
358,The Tornados,Telstar
3024,The Toys,A Lover's Concerto
3454,The Trammps,Disco Inferno
1042,The Tremeloes,Silence is Golden
864,The Troggs,Wild Thing
1018,The Turtles,Happy Together
2459,The Tymes,So Much in Love
4889,The Undisputed Truth,Smiling Faces Sometimes
3638,The Vapors,Turning Japanese
1929,The Vengaboys,"Boom, Boom, Boom, Boom"
1580,The Ventures,Walk Don't Run
2237,The Veronicas,Untouched
669,The Verve,Bitter Sweet Symphony
40,The Village People,YMCA
3920,The Walker Brothers,The Sun Ain't Gonna Shine (Anymore)
4176,The Wallflowers,One Headlight
2171,The Wanted,Glad You Came
4949,The Weather Girls,It's Raining Men
2771,The Weavers,On Top of Old Smokey
3789,The Whispers,And the Beat Goes On
1670,The White Stripes,7 Nation Army
2111,The Who,My Generation
2298,The Yardbirds,For Your Love
1559,The Young Rascals,Groovin'
1937,The Zombies,Time of the Season
1405,Thelma Houston,Don't Leave Me This Way
2993,Thin Lizzy,The Boys Are Back in Town
1739,Third Eye Blind,Semi-Charmed Life
3037,Thomas Dolby,She Blinded Me With Science
451,Three Dog Night,Joy to the World
1701,Three Doors Down,Here Without You
519,Tiffany,I Think We're Alone Now
3614,Tight Fit,The Lion Sleeps Tonight
4330,Timbaland & Katy Perry,If We Ever Meet Again
402,Timbaland & Keri Hilson,The Way I Are
852,Timbaland & Nelly Furtado & Justin Timberlake,Give it to Me
110,Timbaland & OneRepublic,Apologize
4692,Timex Social Club,Rumors
4275,Timi Yuro,Hurt
2143,Timmy T,One More Try
1753,Timmy Thomas,Why Can't We Live Together?
4411,Tina Arena,Chains
2316,Tina Charles,I Love to Love
203,Tina Turner,What's Love Got to Do With It?
1635,Tinie Tempah & Eric Turner,Written in the Stars
4233,Tiziano Ferro,Perdono
135,TLC,No Scrubs
3046,Todd Rundgren,Hello It's Me
1911,Tom Cochrane,Life is a Highway
470,Tom Jones,She's a Lady
2619,Tom Jones & Art of Noise,Kiss
2447,Tom Jones & Mousse T,Sex Bomb
3744,Tom Petty & The Heartbreakers,Refugee
3291,Tommy Dorsey,Marie
762,Tommy Dorsey & Frank Sinatra,I'll Never Smile Again
660,Tommy Edwards,It's All in the Game
417,Tommy James & the Shondells,Crimson & Clover
3929,Tommy Page,I'll Be Your Everything
593,Tommy Roe,Dizzy
4274,Tommy Steele,Singing The Blues
1803,Tone Loc,Wild Thing
1201,Toni Basil,Mickey
192,Toni Braxton,Un-Break My Heart
603,Tony Bennett,Stranger in Paradise
2838,Tony Christie,(Is This the Way To) Amarillo
3659,Tony Martin,Stranger in Paradise
78,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree
1643,Tony Rich Project,Nobody Knows
3680,Tony! Toni! Tone!,If I Had No Loot
4237,Tori Amos,Professional Widow (It's Got To Be Big)
1315,Toto,Rosanna
3620,T-Pain,Mr Bartender
2478,T'Pau,China in Your Hand
3826,Tracey Ullman,They Don't Know
1036,Tracy Chapman,Fast Car
775,Train,Drops of Jupiter (Tell Me)
3818,Travie McCoy & Bruno Mars,Billionaire
2920,Travis,Sing
496,Trini Lopez,If I Had a Hammer
987,Trio,Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha
3863,Truth Hurts,Addictive
3765,Twista,Slow Jamz
3124,Typically Tropical,Barbados
157,U2,Beautiful Day
788,U2 & Green Day,The Saints are Coming
44,UB40,Can't Help Falling in Love
2378,UB40 & Chrissie Hynde,I Got You Babe
1589,Ugly Kid Joe,Cat's in the Cradle
3931,Ultra Nate,Free
2286,Ultravox,Vienna
2659,Umberto Tozzi,Ti Amo
534,Uncle Kracker,Follow Me
1835,Underworld,Born Slippy
1823,US3,Cantaloop (Flip Fantasia)
31,USA For Africa,We Are the World
14,Usher,Yeah!
751,Usher & Alicia Keys,My Boo
3143,Usher & Pitbull,DJ got us fallin' in love
810,Usher & will.i.am,OMG
781,Usher & Young Jeezy,Love In This Club
3824,Van & Schenck,Ain't We Got Fun?
409,Van Halen,Jump
773,Van McCoy,The Hustle
1581,Van Morrison,Brown Eyed Girl
405,Vanessa Carlton,A Thousand Miles
597,Vanessa Williams,Save the Best For Last
2061,Vangelis,Chariots of Fire
168,Vanilla Ice,Ice Ice Baby
3178,Various Artists,Perfect Day
59,Vaughn Monroe,(Ghost) Riders in the Sky
474,Vera Lynn,Auf Wiederseh'n Sweetheart
1270,Vernon Dalhart,The Prisoner's Song
4795,Vertical Horizon,Everything You Want
1146,Vic Damone,You're Breakin' My Heart
4252,Vicki Lawrence,The Night The Lights Went Out In Georgia
3217,Vicki Sue Robinson,Turn The Beat Around
3102,Vicky Leandros,Apres Toi
3554,Vikki Carr,It Must Be Him (Seul Sur Son Etoile)
1997,Visage,Fade to Grey
3391,Waldo De Los Rios,Mozart Symphony No 40 in G Minor
1051,Walter Murphy & The Big Apple Band,A Fifth of Beethoven
2748,Wang Chung,Everybody Have Fun Tonight
2812,War,Cisco Kid
4333,Warrant,Heaven
2989,Warren G,I Shot the Sheriff
3524,Warren G & Adina Howard,What's Love Got to Do With It?
1484,Warren G & Nate Dogg,Regulate
3516,Wayne Fontana & The Mindbenders,The Game of Love
4553,Wayne King,Dream a Little Dream of Me
3241,Wayne Newton,Daddy Don't You Walk So Fast
4168,Wayne Wonder,No Letting Go
4218,Weezer,Buddy Holly
4590,Wes,Alane
2407,Westlife,Swear it Again
233,Wet Wet Wet,Love is All Around
277,Wham!,Wake Me Up Before You Go Go
1746,Wheatus,Teenage Dirtbag
1802,Whigfield,Saturday Night
3670,Whistling Jack Smith,I Was Kaiser Bill's Batman
4259,White Plains,My Baby Loves Lovin'
1096,White Town,Your Woman
2571,Whitesnake,Here I Go Again
7,Whitney Houston,I Will Always Love You
2684,Whitney Houston & Enrique Iglesias,Could I Have This Kiss Forever
3010,Whitney Houston & Faith Evans & Kelly Price,Heartbreak Hotel
1226,Wilbert Harrison,Kansas City
1334,Wild Cherry,Play That Funky Music
3307,Will Glahe & his Orchestra,Beer Barrel Polka (Roll out the Barrel)
230,Will Smith,Men in Black
2037,Will To Power,"Baby, I Love Your Way"
1027,will.i.am & Britney Spears,Scream & Shout
2740,Willie Nelson,Always On My Mind
857,Wilson Phillips,Hold On
3349,Wilson Pickett,Land of 1000 Dances
372,Wings,Mull of Kintyre
4781,Wiz Khalifa,Black & Yellow
3314,Wizzard,See My Baby Jive
2367,Womack & Womack,Teardrops
1754,Woody Guthrie,This Land is Your Land
2045,Woody Herman,Blues in the Night
3434,Wreckx-N-Effect,Rump Shaker
2529,Wyclef Jean & Akon & Lil' Wayne,Sweetest Girl (dollar Bill)
4817,Wyclef Jean & Claudette Ortiz,Two Wrongs
3202,Wynonie Harris,Good Rockin' Tonight
4903,Xavier Cugat,Brazil (Aquarela do Brasil)
4107,Xscape,Just Kickin' It
2274,Yazoo,Don't Go
1059,Yazz & The Plastic Population,The Only Way is Up
4697,Yello,The Race
1138,Yes,Owner of a Lonely Heart
1040,Yolanda Be Cool & DCup,We No Speak Americano
2735,Young MC,Bust a Move
3308,Youngbloods,Get Together
800,Youssou N'Dour & Neneh Cherry,7 Seconds
1856,Yvonne Elliman,If I Can't Have You
219,Zager & Evans,In the Year 2525 (Exordium & Terminus)
3029,Zhane,Hey Mr DJ
4069,Zucchero Fornaciari & Paul Young,Senza Una Donna (Without a Woman)
3583,ZZ Top,Legs
